rinv,pair_total,pair_smalldphi,pair_largedphi,assoc_total
0.01,0,0,0,0
0.1,0,0,0,575.712138511
0.2,0,0,0,904.274702896
0.3,411.045471899,411.045471899,600.001860547,1058.44350862
0.4,757.494053219,757.494053219,546.207104887,1150.93513042
0.5,919.978484126,919.978484126,699.998338059,1212.52793815
0.6,1017.25772133,1017.25772133,891.515352634,1242.24834581
0.7,1107.16566772,1107.16566772,1015.42080467,1220.15037012
0.8,1114.54954053,1084.37261854,1114.54954053,1106.51159254
0.9,1164.6208833,1027.9112357,1164.6208833,830.728356588
0.98,1173.02190847,886.387656228,1173.02190847,486.547727391
0.99,1181.36168885,798.611222093,1181.36168885,438.923803366
1,1167.86148469,809.93381192,1167.86148469,0
