pT, Kfactor_inverse
44.09421347203863, 1.002554311647451
79.14829252999448, 1.0102398357666598
114.20120309917343, 1.0323929374206156
149.25469791274088, 1.047312250307197
183.3704804829705, 1.098388460754597
218.8878653409056, 1.1567165293834467
252.9978054672515, 1.2801306275045867
285.7049748171154, 1.4107604449790259
318.40863870064913, 1.5847929950577075
352.04650936119015, 1.7660713801798131
383.81304524577445, 1.9690270390519427
415.57782839719357, 2.1936840642261934
445.93867228335375, 2.4400243862884903
476.29834768073727, 2.700832285885536
506.656854589344, 2.9761077630173283
535.6114222326921, 3.2730665370371703
563.631198854644, 3.570013264780961
591.649222743431, 3.888661358826875
619.1986826327432, 4.221771007269512
645.8115987674944, 4.57656997573822
671.4903081252382, 4.9241231091635065
696.2330579728095, 5.286131773847491
720.0386798214315, 5.677063547324921
745.2470724465356, 6.060779601449052
769.0526942951574, 6.451711374926482
791.922356633607, 6.857098679662611
814.7914347276678, 7.269719773166115
836.2571578008583, 7.696790374790292
857.7234651184372, 8.116627187647097
877.7870016595336, 8.543679719857199
897.3819742011556, 8.985193806464027
917.4437580090873, 9.433947704976253
937.973521572105, 9.87547383785913
